,Surfaces,DFTcal,predicted,metal,facet,cn,psi,theta,mycalc,sq_err_me,sq_err_gao
0,La(PtM111),-2.96828,-2.9938879161638,La,PtM111,2.5,8.18,-3.62728,-6.09222,9.759001123600001,0.0006557653702522027
1,Sc(PtM111),-2.5597,-2.9121663987107,Sc,PtM111,2.5,6.62,-3.1407,-6.1702200000000005,13.035854670400004,0.12423256222009027
2,Y(PtM111),-2.48694,-2.95335804626716,Y,PtM111,2.5,7.38,-3.1059400000000004,-6.13222,13.2880662784,0.21754579388367448
3,Ti(PtM111),-3.1194,-3.09234537172585,Ti,PtM111,2.5,10.39,-3.8889000000000005,-5.98172,8.1928757824,0.000731952911052446
4,Hf(PtM111),-2.95709,-3.16657203431863,Hf,PtM111,2.5,12.31,-3.82259,-5.88572,8.5768736769,0.04388272270227172
5,Zr(PtM111),-2.82836,-3.15635514240665,Zr,PtM111,2.5,12.03,-3.67986,-5.89972,9.433252249600002,0.10758081344235866
6,V(PtM111),-3.38246,-3.26879973816616,V,PtM111,2.5,15.34,-4.3994599999999995,-5.7342200000000005,5.530775097600002,0.012918655120137023
7,Ta(PtM111),-3.27612,-3.3091984215539,Ta,PtM111,2.5,16.67,-4.3596200000000005,-5.66772,5.71975056,0.001094181972497513
8,Nb(PtM111),-3.20896,-3.27774173495225,Nb,PtM111,2.5,15.63,-4.24046,-5.71972,6.303915777599999,0.00473092706304159
9,Cr(PtM111),-3.44403,-3.44403,Cr,PtM111,2.5,21.69,-4.77853,-5.41672,3.8915058360999986,0.0
10,W(PtM111),-3.34328,-3.26619126283225,W,PtM111,2.5,15.25,-4.35578,-5.73872,5.738132793599999,0.005942673398118475
11,Tc(PtM111),-3.44963,-3.53875013837645,Tc,PtM111,2.5,25.79,-4.98913,-5.21172,3.104961168099999,0.007942399064237625
12,Re(PtM111),-3.36007,-3.53875013837645,Re,PtM111,2.5,25.79,-4.89957,-5.21172,3.4286077224999993,0.03192659185022741
13,Cr(PtM111),-3.44403,-3.41904285745856,Cr,PtM111,2.5,21.69,-4.77853,-5.41672,3.8915058360999986,0.0006243572923862556
14,Mo(PtM111),-3.22015,-3.21752340875039,Mo,PtM111,2.5,31.03,-5.02165,-4.94972,2.991412384900001,6.898981592527586e-06
15,Tc(PtM111),-3.44963,-3.32432271908211,Tc,PtM111,2.5,25.79,-4.98913,-5.21172,3.104961168099999,0.01570191465103503
16,Re(PtM111),-3.36007,-3.32432271908211,Re,PtM111,2.5,25.79,-4.89957,-5.21172,3.4286077224999993,0.0012778680930225449
17,Mn(PtM111),-3.25373,-3.20654152631874,Mn,PtM111,2.5,31.61,-5.08423,-4.92072,2.7788556601000005,0.0022267520483669886
18,Ru(PtM111),-3.34328,-3.25550807967483,Ru,PtM111,2.5,29.09,-5.04778,-5.04672,2.901707833599999,0.007703909997567972
19,Os(PtM111),-3.25373,-3.25550807967483,Os,PtM111,2.5,29.09,-4.95823,-5.04672,3.2148131400999986,3.161567330044e-06
20,Fe(PtM111),-3.16418,-3.14538801962057,Fe,PtM111,2.5,34.97,-5.16268,-4.75272,2.5234593316000002,0.0003531385265808769
21,Ir(PtM111),-3.07463,-3.11353273896867,Ir,PtM111,2.5,36.82,-5.16563,-4.66022,2.5140956480999996,0.0015134230992644773
22,Co(PtM111),-3.01306,-3.01306,Co,PtM111,2.5,43.09,-5.41756,-4.3467199999999995,1.778648995599999,0.0
23,Rh(PtM111),-2.9291,-3.13571056424656,Rh,PtM111,2.5,35.53,-4.9556000000000004,-4.72472,3.2242511843999986,0.04268792525828194
24,Pt(PtM111),-2.9347,-3.00136932161404,Pt,PtM111,2.5,43.86,-5.3777,-4.30822,1.8865571904000014,0.004444798444476292
25,Pd(PtM111),-2.89552,-2.97774423268128,Pd,PtM111,2.5,45.45,-5.41802,-4.228719999999999,1.7774222399999982,0.00676082444002529
26,Ni(PtM111),-2.84515,-2.88172472705069,Ni,PtM111,2.5,52.36,-5.713150000000001,-3.8832199999999997,1.0775893248999997,0.0013377106588324896
27,Au(PtM111),-2.70522,-2.94632692845058,Au,PtM111,2.5,75.92,-6.75122,-2.7052199999999997,1.9721522630525295e-31,0.058132550946873
28,Ag(PtM111),-2.59888,-2.75326043881887,Ag,PtM111,2.5,87.1,-7.20388,-2.1462200000000005,0.20490107559999945,0.02383331988990696
29,Cu(PtM111),-2.49254,-2.74176071000249,Cu,PtM111,2.5,63.68,-5.92654,-3.31722,0.6800971023999998,0.06211096229414517
30,Hg(PtM111),-2.68284,-2.64977616625549,Hg,PtM111,2.5,72.0,-6.53284,-2.90122,0.047689824399999914,0.0010932171018846089
31,Cd(PtM111),-2.62687,-2.51790662696854,Cd,PtM111,2.5,85.21,-7.137369999999999,-2.2407200000000005,0.1491118224999995,0.011873016662393026
32,Zn(PtM111),-2.57649,-2.49860449700932,Zn,PtM111,2.5,87.27,-7.18999,-2.13772,0.1925191129000003,0.00606615157611122
