,Surfaces,DFTcal,predicted,metal,facet,cn,psi,theta,mycalc,sq_err_me,sq_err_gao
0,Sc(111),-2.18378,-1.90905875,Sc,111,7.5,6.62,-3.34858,-2.5087550000000007,0.10560875062500044,0.07547176520156251
1,Ti(111),-2.01436,-1.81475975,Ti,111,7.5,10.39,-3.32996,-2.357955000000001,0.11805752402500068,0.03984025980006251
2,V(111),-1.72973,-1.6910645,V,111,7.5,15.34,-3.2433300000000003,-2.159955000000001,0.18509355062500082,0.0014950208902500014
3,Cr(111),-1.69189,-1.53233125,Cr,111,7.5,21.69,-3.45949,-1.9059550000000005,0.04582382422500026,0.02545899470156249
4,Fe(111),-1.02973,-1.200183,Fe,111,7.5,34.97,-3.3285299999999998,-1.3747550000000008,0.11904225062500055,0.029054225208999987
5,Co(111),-0.65709,-0.99737225,Co,111,7.5,43.09,-3.2806900000000008,-1.0499550000000002,0.15434290822500019,0.1157920096650625
6,Ni(111),-0.70811,-0.7655995,Ni,111,7.5,52.36,-3.70251,-0.6791550000000006,0.0008383920249999652,0.0033050426102499966
7,Cu(111),-0.32973,-0.48239475,Cu,111,7.5,63.68,-3.7769300000000006,-0.2263550000000003,0.010686390624999941,0.023306525892562487
8,Y(111),-1.98923,-1.89007375,Y,111,7.5,7.38,-3.18443,-2.4783550000000005,0.23924326562500048,0.009831961914062512
9,Zr(111),-2.02693,-1.773748,Zr,111,7.5,12.03,-3.40813,-2.2923550000000006,0.07045043062500025,0.06410112512400001
10,Nb(111),-1.69189,-1.683875,Nb,111,7.5,15.63,-3.21709,-2.1483550000000005,0.20836029622500052,6.424022499999813e-05
11,Mo(111),-1.57838,-1.298638,Mo,111,7.5,31.03,-3.7195800000000006,-1.5323550000000004,0.0021183006249999576,0.07825558656399996
12,Ru(111),-0.95871,-1.34722725,Ru,111,7.5,29.09,-3.02231,-1.6099550000000007,0.42412005002500097,0.15094565354756254
13,Rh(111),-0.75763,-1.186342,Rh,111,7.5,35.53,-3.07883,-1.3523550000000006,0.35369782562500074,0.18379397894399999
14,Pd(111),-0.32973,-0.93813625,Pd,111,7.5,45.45,-3.0477300000000005,-0.9555550000000004,0.3916569306250004,0.37015816503906257
15,Ag(111),0.14324,0.10294275,Ag,111,7.5,87.1,-4.240760000000001,0.7104449999999995,0.32172151202499943,0.0016238683575625005
16,Ta(111),-1.86216,-1.65783325,Ta,111,7.5,16.67,-3.42896,-2.1067550000000006,0.059826714025000276,0.041749420765562546
17,W(111),-1.76757,-1.693144,W,111,7.5,15.25,-3.27757,-2.1635550000000006,0.15680412022500037,0.005539229476000015
18,Re(111),-1.27568,-1.42976325,Re,111,7.5,25.79,-3.20728,-1.7419550000000008,0.21741237562500082,0.023741647930562503
19,Ir(111),-0.74506,-1.1540455,Ir,111,7.5,36.82,-3.1178600000000003,-1.3007550000000005,0.30879693302500066,0.16726913921025008
20,Pt(111),-0.42432,-0.97800875,Pt,111,7.5,43.86,-3.07872,-1.0191550000000005,0.35382867722500055,0.30657123187656254
21,Au(111),0.44595,-0.17644625,Au,111,7.5,75.92,-3.490850000000001,0.26324499999999995,0.033381117025000025,0.3873770920140625
22,Sc(111),-2.50541,-2.20905875,Sc,111,7.5,6.62,-3.67021,-2.5087550000000007,1.1189025000005483e-05,0.08782406337656241
23,Ti(211),-2.54324,-2.11475975,Ti,211,5.5,10.39,-3.61884,-2.5979550000000007,0.0029937312250000805,0.1835953246400623
24,Cu(211),-0.93514,-0.78239475,Cu,211,5.5,63.68,-4.14234,-0.4663550000000005,0.2197593762249995,0.02333111139756248
25,Y(211),-2.56216,-2.19007375,Y,211,5.5,7.38,-3.51736,-2.7183550000000007,0.024396878025000235,0.13844817743906263
26,Zr(211),-2.44865,-2.073748,Zr,211,5.5,12.03,-3.58985,-2.532355000000001,0.007006527025000098,0.14055150960400006
27,Ru(211),-1.80541,-1.64722725,Ru,211,5.5,29.09,-3.62901,-1.8499550000000007,0.001984257025000064,0.02502178239756248
28,Rh(211),-1.52162,-1.486342,Rh,211,5.5,35.53,-3.60282,-1.5923550000000009,0.005003440225000125,0.0012445372839999943
29,Pd(211),-0.87838,-1.23813625,Pd,211,5.5,45.45,-3.3563800000000006,-1.1955550000000001,0.10059998062500006,0.12942455941406242
30,Ag(211),-0.31081,-0.19705725,Ag,211,5.5,87.1,-4.45481,0.47044499999999934,0.610359375024999,0.012939688132562497
31,W(211),-2.50541,-1.993144,W,211,5.5,15.25,-3.77541,-2.4035550000000008,0.010374441024999825,0.2624164547559999
32,Pt(211),-1.10541,-1.27800875,Pt,211,5.5,43.86,-3.5198100000000005,-1.2591550000000002,0.023637525025000074,0.02979032850156247
33,Au(211),-0.15946,-0.47644625,Au,211,5.5,75.92,-3.8562600000000007,0.023244999999999738,0.0333811170249999,0.10048028268906252
